id,imo,from,fromEta,fromEtaTimestamp,fromEts,fromEtsTimestamp,to,toEta,toEtaTimestamp,toEts,toEtsTimestamp,hoursBetweenFromEtsAndtoEtaDepDest,atSea,inAnchorageBeforeEnteringDeparture,inDeparturePort,inDepartureBerth,inAnchorageLeavingDeparture,transitAnchorageTime,inAnchorageBeforeEnteringDestinationPort,inDestinationPort,inDestinationBerth,portPolygonsVisited,berthPolygonsVisited,anchoragePolygonsVisited,destinationComponent,query,approved,approvedBy,approvedDateTime,metricScore,pathScore,disapproved,disapprovedBy,disapprovedDateTime,duplicatedId
IMO{'7222607'}-IDPDG-2017-09-17IDJKT-2017-09-20,7222607,IDPDG,1505655182000,2017-09-17T13:33:02Z,1505746887000,2017-09-18T15:01:27Z,IDJKT,1505950608000,2017-09-20T23:36:48Z,1506182396000,2017-09-23T15:59:56Z,56,56,0,25,0,0,0,40,24,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1505655182000 AND positionreceived:<=1506095756000,0,,,0.868486380011347,1,0,,,
IMO{'7222607'}-IDPDG-2017-09-26IDJKT-2017-10-01,7222607,IDPDG,1506452687000,2017-09-26T19:04:47Z,1506671499000,2017-09-29T07:51:39Z,IDJKT,1506873227000,2017-10-01T15:53:47Z,1506930841000,2017-10-02T07:54:01Z,56,56,0,0,0,0,0,0,16,0,1,0,0,Port,7222607 AND positionreceived:>=1506452687000 AND positionreceived:<=1506930841000,0,,,0.8535776821168375,1,0,,,
IMO{'7222607'}-IDPDG-2017-10-17IDJKT-2017-10-23,7222607,IDPDG,1508251642000,2017-10-17T14:47:22Z,1508569766000,2017-10-21T07:09:26Z,IDJKT,1508773776000,2017-10-23T15:49:36Z,1508860724000,2017-10-24T15:58:44Z,56,56,0,0,0,0,0,0,24,0,1,0,0,Port,7222607 AND positionreceived:>=1508251642000 AND positionreceived:<=1508860724000,0,,,0.8461341135699456,1,0,,,
IMO{'7222607'}-IDPDG-2017-12-08IDJKT-2017-12-11,7222607,IDPDG,1512742726000,2017-12-08T14:18:46Z,1512832160000,2017-12-09T15:09:20Z,IDJKT,1513036751000,2017-12-11T23:59:11Z,1513122692000,2017-12-12T23:51:32Z,56,56,0,0,0,0,0,0,23,0,1,0,0,Port,7222607 AND positionreceived:>=1512742726000 AND positionreceived:<=1513122692000,0,,,0.8442396469202936,1,0,,,
IMO{'7222607'}-IDPDG-2017-12-16IDJKT-2017-12-21,7222607,IDPDG,1513393039000,2017-12-16T02:57:19Z,1513696976000,2017-12-19T15:22:56Z,IDJKT,1513871679000,2017-12-21T15:54:39Z,1513986890000,2017-12-22T23:54:50Z,48,48,0,84,0,0,0,7,24,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1513393039000 AND positionreceived:<=1513900193000,0,,,0.6495367614045623,1,0,,,
IMO{'7222607'}-IDPDG-2017-12-25IDJKT-2018-01-02,7222607,IDPDG,1514238423000,2017-12-25T21:47:03Z,1514705391000,2017-12-31T07:29:51Z,IDJKT,1514908559000,2018-01-02T15:55:59Z,1514994374000,2018-01-03T15:46:14Z,56,56,0,129,0,0,0,8,15,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1514238423000 AND positionreceived:<=1514937594000,0,,,0.5825551656170841,1,0,,,
IMO{'7222607'}-IDPDG-2018-01-07IDJKT-2018-01-09,7222607,IDPDG,1515288260000,2018-01-07T01:24:20Z,1515369464000,2018-01-07T23:57:44Z,IDJKT,1515541824000,2018-01-09T23:50:24Z,1515626363000,2018-01-10T23:19:23Z,47,47,0,0,0,0,0,0,23,0,1,0,0,Port,7222607 AND positionreceived:>=1515288260000 AND positionreceived:<=1515626363000,0,,,0.8516669630833225,1,0,,,
IMO{'7222607'}-IDPDG-2018-01-14IDJKT-2018-01-17,7222607,IDPDG,1515921038000,2018-01-14T09:10:38Z,1516002266000,2018-01-15T07:44:26Z,IDJKT,1516160902000,2018-01-17T03:48:22Z,1516319588000,2018-01-18T23:53:08Z,44,44,0,22,0,0,0,27,16,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1515921038000 AND positionreceived:<=1516261489000,0,,,0.8781698683984259,1,0,,,
IMO{'7222607'}-IDPDG-2018-01-22IDJKT-2018-01-27,7222607,IDPDG,1516597802000,2018-01-22T05:10:02Z,1516919117000,2018-01-25T22:25:17Z,IDJKT,1517096965000,2018-01-27T23:49:25Z,1517155027000,2018-01-28T15:57:07Z,49,49,0,0,0,0,0,0,16,0,1,0,0,Port,7222607 AND positionreceived:>=1516597802000 AND positionreceived:<=1517155027000,0,,,0.8505450772883947,1,0,,,
IMO{'7222607'}-IDPDG-2018-02-02IDJKT-2018-02-06,7222607,IDPDG,1517581026000,2018-02-02T14:17:06Z,1517689701000,2018-02-03T20:28:21Z,IDJKT,1517931703000,2018-02-06T15:41:43Z,1518134392000,2018-02-08T23:59:52Z,67,67,0,30,0,0,0,48,8,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1517581026000 AND positionreceived:<=1518105236000,0,,,0.8532684574355763,1,0,,,
